Name,SKU,Category,Brand,Size,Trap,Badge,Unit,Is Active
Happy 6005,6005,One Piece Basin,Toris,"L 380 × W 380 × H 870 mm (15""x15""x34"")",,,Piece,Yes
Heart 6006,6006,One Piece Basin,Toris,"L 385 × W 385 × H 870 mm (15""x15""x34"")",,,Piece,Yes
Hill 6007,6007,One Piece Basin,Toris,"L 385 × W 385 × H 870 mm (15""x15""x34"")",,,Piece,Yes
Lavish 6051,6051,Wall Integrated Wash Basin,Toris,"L 455 × W 445 × H 760 mm (18""x18""x30"")",,New Arrival,Piece,Yes
Rollence 6052,6052,Wall Integrated Wash Basin,Toris,"L 380 × W 340 × H 630 mm (15""x13""x25"")",,,Piece,Yes
Axel 6053,6053,Wall Integrated Wash Basin,Toris,"L 430 × W 430 × H 405 mm (17""x17""x16"")",,New Arrival,Piece,Yes
Roger 6054,6054,Wall Integrated Wash Basin,Toris,"L 465 × W 460 × H 380 mm (18""x18""x15"")",,,Piece,Yes
Real 6055,6055,Wall Integrated Wash Basin,Toris,"L 470 × W 365 × H 500 mm (19""x14""x20"")",,,Piece,Yes
Raven 6056,6056,Wall Integrated Wash Basin,Toris,"L 410 × W 360 × H 320 mm (16""x14""x13"")",,,Piece,Yes
Ross 6057,6057,Wall Integrated Wash Basin,Toris,"L 360 × W 360 × H 290 mm (14""x14""x11"")",,,Piece,Yes
Roman 6058,6058,Wall Integrated Wash Basin,Toris,"L 350 × W 360 × H 280 mm (14""x14""x11"")",,,Piece,Yes
Rikon 6059,6059,Wall Integrated Wash Basin,Toris,"L 420 × W 400 × H 270 mm (17""x16""x11"")",,,Piece,Yes
Rick 7001,7001,Wash Basin With Full Pedestal,Toris,"L 645 × W 470 × H 900 mm (25""x19""x35"")",,,Piece,Yes
Regaltos 7002,7002,Wash Basin With Full Pedestal,Toris,"L 590 × W 470 × H 825 mm (23""x19""x32"")",,,Piece,Yes
Regalia 7003,7003,Wash Basin With Full Pedestal,Toris,"L 580 × W 435 × H 850 mm (23""x17""x33"")",,,Piece,Yes
Roy 7004,7004,Wash Basin With Full Pedestal,Toris,"L 560 × W 430 × H 870 mm (22""x17""x34"")",,,Piece,Yes
Rich 7005,7005,Wash Basin With Full Pedestal,Toris,"L 530 × W 430 × H 880 mm (21""x17""x35"")",,,Piece,Yes
Rare 7006,7006,Wash Basin With Full Pedestal,Toris,"L 510 × W 430 × H 880 mm (20""x17""x35"")",,,Piece,Yes
Rotto 7007,7007,Wash Basin With Full Pedestal,Toris,"L 510 × W 420 × H 840 mm (20""x17""x33"")",,,Piece,Yes
Radius 7008,7008,Wash Basin With Full Pedestal,Toris,"L 510 × W 410 × H 880 mm (20""x16""x35"")",,,Piece,Yes
Range 7009,7009,Wash Basin With Full Pedestal,Toris,"L 440 × W 370 × H 860 mm (17""x15""x34"")",,,Piece,Yes
Rust 7010,7010,Wash Basin With Full Pedestal,Toris,"L 460 × W 355 × H 830 mm (18""x14""x33"")",,,Piece,Yes
Regalia 7051,7051,Wash Basin With Half Pedestal,Toris,"L 580 × W 435 × H 530 mm (23""x17""x21"")",,,Piece,Yes
Regata 7052,7052,Wash Basin With Half Pedestal,Toris,"L 560 × W 420 × H 480 mm (22""x17""x19"")",,,Piece,Yes
Rich 7053,7053,Wash Basin With Half Pedestal,Toris,"L 530 × W 430 × H 505 mm (21""x17""x20"")",,,Piece,Yes
Ryzen 7054,7054,Wash Basin With Half Pedestal,Toris,"L 455 × W 345 × H 420 mm (18""x14""x17"")",,,Piece,Yes
Range 7055,7055,Wash Basin With Half Pedestal,Toris,"L 440 × W 370 × H 450 mm (17""x15""x18"")",,,Piece,Yes
Rival 7056,7056,Wash Basin With Half Pedestal,Toris,"L 410 × W 335 × H 440 mm (16""x13""x17"")",,,Piece,Yes
Rento 7057,7057,Wash Basin With Half Pedestal,Toris,"L 410 × W 300 × H 410 mm (16""x12""x16"")",,,Piece,Yes
Rocket 8001,8001,Wall Hung Basin,Toris,"L 560 × W 355 × H 130 mm (22""x14""x5"")",,,Piece,Yes
Rich 8002,8002,Wall Hung Basin,Toris,"L 530 × W 430 × H 190 mm (21""x17""x7"")",,,Piece,Yes
Rare 8003,8003,Wall Hung Basin,Toris,"L 510 × W 430 × H 220 mm (20""x17""x9"")",,,Piece,Yes
Rotto 8004,8004,Wall Hung Basin,Toris,"L 500 × W 425 × H 175 mm (20""x17""x7"")",,,Piece,Yes
Radius 8005,8005,Wall Hung Basin,Toris,"L 510 × W 410 × H 200 mm (20""x16""x8"")",,,Piece,Yes
Rio 8006,8006,Wall Hung Basin,Toris,"L 495 × W 405 × H 165 mm (19""x16""x6"")",,,Piece,Yes
